[T=55000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=0 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0

[TB] CPU running...
[T=65000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=75000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=85000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=95000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=105000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=115000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=125000] PC=00000000 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=135000] PC=00000004 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=145000] PC=00000008 INSTR=06400093 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=155000] PC=0000000c INSTR=06400093 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=165000] PC=00000010 INSTR=02a00113 | mem_rd=x1 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=175000] PC=00000014 INSTR=0020a023 | mem_rd=x1 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=185000] PC=00000014 INSTR=0020a023 | mem_rd=x2 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=195000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=1
[T=205000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=1
[T=215000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=1
[T=225000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=0
[T=235000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=1
[T=245000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=1
[T=255000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=265000] PC=00000014 INSTR=0020a023 | mem_rd=x0 mem_rw=0 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=275000] PC=00000018 INSTR=06300193 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=1 fetch_stall=0
[T=285000] PC=00000018 INSTR=06300193 | mem_rd=x0 mem_rw=0 mem_mw=1 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=295000] PC=00000018 INSTR=06300193 | mem_rd=x0 mem_rw=0 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=305000] PC=0000001c INSTR=0000a203 | mem_rd=x3 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=315000] PC=00000020 INSTR=000202b3 | mem_rd=x3 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=325000] PC=00000024 INSTR=000202b3 | mem_rd=x4 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=1 fetch_stall=1
[T=335000] PC=00000024 INSTR=000202b3 | mem_rd=x4 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=345000] PC=00000024 INSTR=000202b3 | mem_rd=x0 mem_rw=0 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=355000] PC=00000024 INSTR=000202b3 | mem_rd=x5 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=365000] PC=00000024 INSTR=000202b3 | mem_rd=x5 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=375000] PC=00000024 INSTR=000202b3 | mem_rd=x5 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=385000] PC=00000028 INSTR=0040a303 | mem_rd=x5 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=395000] PC=0000002c INSTR=404303b3 | mem_rd=x5 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=405000] PC=00000030 INSTR=00000013 | mem_rd=x6 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=1 fetch_stall=0
[T=415000] PC=00000030 INSTR=00000013 | mem_rd=x6 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=425000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=0 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=435000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=445000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=455000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=465000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
